Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GLP;17/07/2025;116,00;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;;7O BEC;69918-108;GLP;17/07/2025;125,00;;R$ / 13 kg;FOGAS
CO;DF;BRASILIA;AUTO SHOPPING DERIVADOS DE PETROLEO LTDA; 37.063.328/0009-14; QI 19 LOTES 02 E 04;S/N;SETOR INDUSTRIAL;TAGUATINGA;72120-190;GLP;14/07/2025;109,90;;R$ / 13 kg;BRANCA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;16/07/2025;101,99;;R$ / 13 kg;COPA ENERGIA
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0003-45;AVENIDA DOS FRANCESES;25;;TIRIRICAL;65036-280;GLP;14/07/2025;119,90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GLP;14/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0005-42;AVENIDA DOS HOLANDESES;S/N;;OLHO DAGUA;65065-180;GLP;14/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0006-23;UNIDADE DUZENTOS E TRES;6000;;CIDADE OPERARIA;65058-000;GLP;14/07/2025;98,00;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;AUTO POSTO BARBOZA LTDA; 05.697.124/0001-91;RUA V;1;QUADRA 22;PLANALTO ANIL III;65066-290;GLP;14/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0005-68;AVENIDA DOS HOLANDESES;202;;OLHO D'AGUA;65065-180;GLP;14/07/2025;120,00;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;C. G. DE SOUSA LTDA; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65055-285;GLP;14/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;GLP;14/07/2025;119,90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0001-19;AVENIDA JERONIMO DE ALBUQUERQUE MARANHAO;22;;FORQUILHA;65054-015;GLP;14/07/2025;98,00;;R$ / 13 kg;LIQUIGÁS
SE;MG;GOVERNADOR VALADARES;POSTO DA ILHA LTDA; 64.310.709/0001-76;AVENIDA MUCURI;475;;ILHA DOS ARAUJOS;35020-370;GLP;16/07/2025;125,00;;R$ / 13 kg;BRANCA
CO;MS;CAMPO GRANDE;VITORIA COMERCIO E TRANSPORTES LTDA.; 02.422.918/0001-54;RUA GAL. BERTOLDO KLINGER;2616;;JARDIM FLUMINENSE;79116-020;GLP;15/07/2025;109,00;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;CAMPO GRANDE POSTO DE SERVICO LTDA; 24.610.891/0001-66;AVENIDA CAPIBARIBE;327;;SILVIA REGINA;79102-470;GLP;14/07/2025;112,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MS;CAMPO GRANDE;TROKAR POSTOS DE SERVICOS LTDA; 02.969.905/0001-08;RUA JOSE ANTONIO PEREIRA;260;;CENTRO;79002-400;GLP;14/07/2025;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;AUTO POSTO CASTELO LTDA; 01.742.740/0001-66;RUA 14 DE JULHO;4763;;MONTE CASTELO;79010-470;GLP;15/07/2025;125,00;;R$ / 13 kg;COPA ENERGIA
CO;MS;DOURADOS;POSTO DE SERVICO SANTO ANTONIO LTDA; 00.212.779/0001-09;AVENIDA GUAICURUS;820;;PARQUE ALVORADA;79823-490;GLP;15/07/2025;115,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PB;CAMPINA GRANDE;NOBREGA COMBUSTIVEIS LIMITADA; 00.497.918/0001-98;RUA JOAQUIM CAROCA;517;;UNIVERSITARIO;58429-120;GLP;14/07/2025;100,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PE;RECIFE;SIVINI PETROLEO LTDA; 02.998.548/0001-06;AVENIDA BEBERIBE SANTA CRUZ FUTEBOL CLUBE;3433;;PORTO DA MADEIRA;52130-547;GLP;14/07/2025;95,00;;R$ / 13 kg;BAHIANA
NE;PI;TERESINA;J A SILVA MERCADINHO; 23.621.717/0002-37;RUA MINISTRO PEDRO BORGES;1560;;TABOLETA;64019-650;GLP;17/07/2025;100,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;PI;TERESINA;POSTO HIDROLANDIA LTDA; 03.069.763/0001-87;AVENIDA PREFEITO WALL FERRAZ;8570;SUL;LOURIVAL PARENTE;64022-145;GLP;17/07/2025;110,00;;R$ / 13 kg;BRANCA
SE;RJ;SAO GONCALO;POSTO INTERPLANETARIO LTDA; 28.626.810/0001-77;RUA DR PIO BORGES;2875;;BARRO VERMELHO;24412-000;GLP;14/07/2025;115,00;;R$ / 13 kg;BRANCA
SE;RJ;SAO GONCALO;CENTRO AUTOMOTIVO PARAISO DE SÃO GONÇALO LTDA.; 01.355.571/0001-01;RUA COMANDANTE ARI PARREIRAS;2013;;PARAISO;24430-000;GLP;14/07/2025;99,99;;R$ / 13 kg;BRANCA
NE;RN;NATAL;JVC COMERCIAL LTDA; 35.298.330/0006-02;AVENIDA PRUDENTE DE MORAIS;1854;;LAGOA NOVA;59063-200;GLP;15/07/2025;118,00;;R$ / 13 kg;LIQUIGÁS
NE;RN;NATAL;FLOR E OLIVEIRA LTDA; 12.689.295/0002-15;AVENIDA GOV. TARCISIO DE VASCONCELOS MAIA;1450;A;CANDELARIA;59065-780;GLP;15/07/2025;128,00;;R$ / 13 kg;LIQUIGÁS
N;RO;PORTO VELHO;POSTO MAIA LTDA; 02.745.235/0001-38;AVENIDA NAÇÕES UNIDAS;238;;NOSSA SENHORA DAS GRAÇAS;78915-040;GLP;15/07/2025;130,00;;R$ / 13 kg;FOGAS
N;RO;PORTO VELHO;JANETE N. C. ALVES; 00.820.119/0001-00;RUA JOSÉ VIEIRA CAULA;4712;;AGENOR DE CARVALHO;78909-490;GLP;17/07/2025;120,00;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;A. P. FACCIO & CIA LTDA; 03.611.874/0001-73;AVENIDA BRASIL;1228;QUADRA 74;CINTURAO VERDE;69312-450;GLP;16/07/2025;156,00;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;ARNOGAS & CIA LTDA; 05.939.533/0003-19;RUA JOAO ALENCAR;696;;AEROPORTO;69312-042;GLP;14/07/2025;133,00;;R$ / 13 kg;FOGAS
N;RR;BOA VISTA;RORAIPETRO RORAIMA PETROLEO LTDA; 00.581.612/0002-04;AVENIDA GENERAL ATAIDE TEIVE;4412;;CAIMBE;69312-218;GLP;15/07/2025;135,00;;R$ / 13 kg;FOGAS
S;RS;PELOTAS;IRMAOS CORTEZ LTDA; 92.193.200/0001-26;AVENIDA DUQUE DE CAXIAS;1152;;FRAGATA;96030-003;GLP;15/07/2025;119,00;;R$ / 13 kg;LIQUIGÁS
S;RS;SANTA MARIA;AUTO POSTO RODALEX LTDA - EM RECUPERACAO JUDICIAL; 87.799.953/0003-01;RODOVIA BR 158;S/Nº;KM 01;PARQUE PINHEIRO MACHADO;97030-620;GLP;15/07/2025;109,90;;R$ / 13 kg;LIQUIGÁS
S;SC;BLUMENAU;POSTO ITOUPAVAZINHA LTDA; 02.714.732/0001-79;RUA FREDERICO JENSEN;1080;;ITOUPAVAZINHA;89066-301;GLP;14/07/2025;130,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;SE;ARACAJU;REDE DE POSTOS PRESIDENTE LTDA; 32.864.795/0001-72;AVENIDA COELHO E CAMPOS;1254;;SANTO ANTONIO;49060-000;GLP;15/07/2025;104,90;;R$ / 13 kg;LIQUIGÁS
SE;SP;RIBEIRAO PRETO;AUTO POSTO QUINHONE E YAMAKI LTDA; 02.767.693/0001-78;AVENIDA ANTONIO GOMES DA SILVA JUNIOR;870;;PARQUE RESIDENCIAL LAGOINHA;14095-440;GLP;16/07/2025;115,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;RIBEIRAO PRETO;AUTO POSTO CHINA LTDA; 58.865.825/0001-59;RUA HILARIO AZZOLINI;475;;VILA PARATODOS;14096-610;GLP;16/07/2025;100,00;;R$ / 13 kg;COPA ENERGIA
SE;SP;SANTOS;COMERCIO DE COMBUSTIVEIS GENESIS LTDA.; 05.740.272/0001-41;AVENIDA CONSELHEIRO NEBIAS;243;;VILA MATIAS;11060-003;GLP;14/07/2025;129,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIAL ALVORADA CENTER LTDA; 46.198.081/0001-87;AVENIDA AFFONSO PENNA;55;;BOQUEIRAO;11020-000;GLP;14/07/2025;125,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO PEDRO LESSA LIMITADA; 58.186.198/0001-20;AVENIDA PEDRO LESSA;2231;;EMBARE;11025-003;GLP;14/07/2025;134,90;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;COMERCIO E SERVICOS AUTOMOTIVOS TROPICAL LTDA.; 52.864.790/0001-57;AVENIDA NOSSA SENHORA DE FATIMA;61/63;;CHICO DE PAULA;11085-202;GLP;14/07/2025;125,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SANTOS;AUTO POSTO JABUCA LTDA; 47.773.510/0001-65;AVENIDA DR WALDEMAR LEAO;280;;JABAQUARA;11013-600;GLP;14/07/2025;128,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SANTOS;LINHA UM PRODUTOS DE PETROLEO LTDA; 45.046.547/0001-66;AVENIDA NS DE FATIMA;635;;AREIA BRANCA;11085-203;GLP;14/07/2025;119,90;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;VITORIA COMERCIO DE DERIVADOS DE PETROLEO LTDA.; 64.545.346/0001-58;AVENIDA DOUTOR ANTONIO MARQUES DOS SANTOS;1041;;JARDIM SEYON;15050-500;GLP;14/07/2025;110,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO CECAP LTDA; 55.873.269/0001-74;AVENIDA FORTUNATO ERNESTO VETORAZZO;650;;JARDIM RESIDENCIAL VETORASSO;15040-300;GLP;14/07/2025;120,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO UNIVERSITÁRIO LTDA.; 45.099.165/0001-09;AVENIDA BRIGADEIRO FARIA LIMA;5928;;VILA  SAO  MANOEL;15090-000;GLP;14/07/2025;115,00;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO ZAFANI RIO PRETO LTDA; 03.389.606/0001-59;AVENIDA MONTE APRAZIVEL;2890;;ELDORADO;15043-450;GLP;14/07/2025;115,00;;R$ / 13 kg;LIQUIGÁS
CO;GO;ANAPOLIS;APC II COMERCIO LTDA; 04.894.238/0001-69;VIA ADJACENTE COM RODOVIA BR-153;SN;QUADRAA                   LOTE  11;SETOR SANTA CLARA;75106-203;GLP;17/07/2025;110,00;;R$ / 13 kg;BRANCA
N;AM;MANAUS;H W COMERCIO DE PETROLEO LTDA; 08.827.132/0001-01;RUA BARAO DE INDAIA;712;;FLORES;69065-000;GLP;15/07/2025;128,00;;R$ / 13 kg;AMAZONGÁS
N;AM;MANAUS;COTAM - COOPERATIVA DE CONSUMO DOS TAXISTAS AUTONOMOS DE MANAUS; 02.533.862/0001-05;AVENIDA BURITI;1569;C/ WALDOMIRO LUSTOZA;DISTRITO INDUSTRIAL;69075-001;GLP;14/07/2025;129,00;;R$ / 13 kg;FOGAS
N;AM;MANAUS;ITA LUCAS LTDA; 01.682.336/0001-44;AVENIDA COSME FERREIRA;329;;ALEIXO;69083-000;GLP;14/07/2025;140,00;;R$ / 13 kg;FOGAS
N;AM;MANAUS;MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA; 84.110.394/0001-20;AVENIDA BURITI;2975;;DISTRIT INDUSTRIAL I;69075-000;GLP;14/07/2025;119,50;;R$ / 13 kg;FOGAS
N;AM;MANAUS;ATL COMERCIO DE DERIVADOS DE PETROLEO LTDA; 34.511.006/0001-45;AVENIDA RODRIGO OTAVIO;2890;;DISTRITO INDUSTRIAL;69075-005;GLP;14/07/2025;140,00;;R$ / 13 kg;FOGAS
NE;MA;SAO LUIS;H S C PEREIRA; 07.060.336/0001-99;AVENIDA JOAQUIM MOCHEL;21;": ESTRADA DO ITAPIRACO;";COHATRAC IV;65054-415;GLP;14/07/2025;130,00;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;C. G. DE SOUSA LTDA; 69.425.734/0001-19;RUA OESTE INTERNA;S/N;;CIDADE OPERARIA;65058-207;GLP;14/07/2025;119,99;;R$ / 13 kg;LIQUIGÁS
S;PR;CURITIBA;POSTO CANAL TERRA LTDA; 07.181.236/0001-10;AVENIDA VEREADOR TOALDO TULIO;4661;;SAO BRAZ;82300-980;GLP;15/07/2025;109,90;;R$ / 13 kg;LIQUIGÁS
S;PR;CURITIBA;POSTO RODOVIA DOS MINERIOS LTDA; 79.434.999/0001-37;RUA JOSE BAJERSKI;44;;ABRANCHES;82220-320;GLP;15/07/2025;97,00;;R$ / 13 kg;BRANCA
S;PR;CURITIBA;POSTO CANAL VENETO LTDA; 03.750.264/0001-50;AVENIDA VEREADOR TOALDO TULIO;1602;;SAO BRAZ;82320-010;GLP;15/07/2025;98,90;;R$ / 13 kg;BRANCA
S;PR;CURITIBA;POSTO DAS NACOES LTDA; 82.619.560/0001-93;AVENIDA VICTOR FERREIRA DO AMARAL;142;;TARUMA;82530-230;GLP;17/07/2025;99,90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;PR;CURITIBA;MAGGIORE COMERCIO A VAREJO DE COMBUSTIVEIS LTDA; 01.452.007/0004-50;RUA PROF JOAO S BARCELOS;1796;;BOQUEIRAO;81670-000;GLP;14/07/2025;99,99;;R$ / 13 kg;LIQUIGÁS
S;PR;CURITIBA;AUTO POSTO ABAETE LTDA; 01.381.547/0001-47;RUA FERNANDO DE NORONHA;1338;TERREO;SANTA CANDIDA;82640-350;GLP;17/07/2025;110,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;FRANCA;AUTO POSTO SOUZA CUNHA LTDA; 04.930.554/0001-49;AVENIDA MAJOR NICACIO;2780;;VILA SANTA CRUZ;14403-460;GLP;14/07/2025;110,00;;R$ / 13 kg;ULTRAGAZ
SE;SP;JACAREI;AUTO POSTO BARAO DE JACAREI LTDA; 96.265.921/0001-55;RUA BARAO DE JACAREI;1396;;CENTRO;12308-000;GLP;15/07/2025;109,90;;R$ / 13 kg;LIQUIGÁS
SE;SP;JACAREI;POSTO DE SERVICOS SHOPPING DE JACAREI LTDA; 62.122.908/0001-25;AVENIDA SIQUEIRA CAMPOS;1199;;VILA PINHEIRO;12307-000;GLP;15/07/2025;109,90;;R$ / 13 kg;BRANCA
SE;SP;JACAREI;AUTO POSTO R N M LTDA; 59.790.436/0001-74;RODOVIA NILO MAXIMO;3550;KM 4;SANTO ANTONIO DA BOA VISTA;12315-010;GLP;15/07/2025;99,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;OSASCO;HORTENCIA AUTO POSTO LTDA; 59.560.011/0001-79;AVENIDA JOAO VENTURA DOS SANTOS;744;;JD BARONEZA;06260-170;GLP;15/07/2025;119,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;OSASCO;AUTO POSTO CHAVANTES LTDA.; 44.327.377/0001-25;AVENIDA SAO JOSE;1540;;AYROSA;06283-125;GLP;15/07/2025;105,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;PRESIDENTE PRUDENTE;POSTO ZAP PRESIDENTE PRUDENTE LTDA; 02.438.395/0001-34;AVENIDA JOAQUIM CONSTANTINO;1892;;VILA FORMOSA;19050-220;GLP;14/07/2025;109,90;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PRESIDENTE PRUDENTE;POSTO BRASIL DE PRESIDENTE PRUDENTE LTDA; 69.155.109/0001-02;RUA JOSE TARIFA CONDE;1124;B;JARDIM AVIACAO;19020-540;GLP;14/07/2025;94,99;;R$ / 13 kg;BRANCA
SE;SP;PRESIDENTE PRUDENTE;POSTO LIDER DE PRESIDENTE PRUDENTE LTDA; 02.908.271/0001-75;AVENIDA TANCREDO NEVES;969;;JARDIM SAO PEDRO;19040-520;GLP;14/07/2025;99,90;;R$ / 13 kg;BRANCA
SE;SP;PRESIDENTE PRUDENTE;AUTO POSTO GALEGÃO LTDA; 00.933.474/0001-96;RODOVIA COMENDADOR ALBERTO BONFIGLIOLI;3015;;JARDIM SANTA FE;19063-390;GLP;14/07/2025;114,99;;R$ / 13 kg;BRANCA
SE;SP;PRESIDENTE PRUDENTE;MANAUARA AUTO POSTO LTDA; 00.618.358/0001-82;AVENIDA PAULO MARCONDES;808;;JD SANTA CLARA;19025-000;GLP;14/07/2025;109,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO BERNARDO DO CAMPO;VETOR AUTO POSTO LTDA; 44.356.004/0001-82;ESTRADA DOS ALVARENGAS;3400;;JARDIM CAMPESTRE;09850-550;GLP;17/07/2025;137,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO BERNARDO DO CAMPO;AUTO POSTO VERGUEIRAO LTDA; 50.143.528/0001-98;AVENIDA SENADOR VERGUEIRO;2861;;RUDGE RAMOS;09750-000;GLP;17/07/2025;131,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO CARLOS;POSTO PANTANAL CRUZEIRO DO SUL LTDA; 02.845.415/0001-91;RUA REPUBLICA DO LIBANO;340;;JD.CRUZ DO SUL;13572-081;GLP;17/07/2025;130,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO CARLOS;FORGERINI & INOUYE LTDA; 67.379.743/0001-95;RUA LOURENÇO INOCENTINI;700;;VILA NERY;13567-620;GLP;17/07/2025;139,00;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DOS CAMPOS;AUTO CENTER PAIVA & CIA LTDA; 63.957.708/0001-55;AVENIDA BENEDITO FRIGGI;3400;;JARDIM NOVA DETROIT;12224-480;GLP;16/07/2025;98,90;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;COPA ENERGIA DISTRIBUIDORA DE GAS S A; 03.237.583/0048-20;AVENIDA DUQUE DE CAXIAS;6906;;NOVA CAMPO GRANDE;79113-000;GLP;14/07/2025;115,00;;R$ / 13 kg;COPA ENERGIA
NE;AL;MACEIO;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA; 06.980.064/0010-73;AV. DURVAL DE GOES MONTEIRO;1801;;TABULEI.DOS MARTINS;57061-000;GLP;16/07/2025;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SANTO ANDRE;PALMARES COM.GAS ACESSORIOS LTDA.ME; 00.256.697/0001-66;AVENIDA GAGO COUTINHO;678;;VL PALMARES;09152-030;GLP;14/07/2025;109,99;;R$ / 13 kg;LIQUIGÁS
NE;CE;FORTALEZA;M J COMERCIO VAREJISTA DE GLP LTDA; 00.275.946/0001-60;RUA NESTOR BARBOSA;774;;PARQUELANDIA;60455-610;GLP;17/07/2025;105,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;PR;LONDRINA;EMBALADAO LTDA; 00.285.303/0001-06;RUA ESCOCIA;670;;JARDIM IGAPO;86046-230;GLP;14/07/2025;93,00;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;FORTALEZA;BELA VISTA COMERCIAL DE GÁS LTDA; 00.288.451/0001-76;RUA CHILE;771;;BELA VISTA;60442-470;GLP;17/07/2025;104,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;CONTAGEM;JOSE BRAZ DIAS; 00.405.568/0001-92;RUA PASSOS;468;;SANTA HELENA;32015-030;GLP;14/07/2025;126,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;AC;RIO BRANCO;J L A VALENCA LTDA; 00.405.588/0001-63;AVENIDA SUL;196;;CONJUNTO TUCUMA;69919-676;GLP;17/07/2025;124,00;;R$ / 13 kg;FOGAS
SE;RJ;RIO DE JANEIRO;F P DISTRIBUIDORA DE GAS LTDA ME; 00.443.260/0001-31;RUA CUPERTINO;17;;QUINTINO;21380-150;GLP;14/07/2025;90,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;ANAPOLIS;ALVES DA SILVA E VIEIRA LTDA.; 00.514.407/0001-37;AVENIDA DAS ROSAS;70;;JARDIM ALEXANDRINA;75060-430;GLP;16/07/2025;110,00;;R$ / 13 kg;BRANCA
S;PR;CURITIBA;VALMIR MARTINES GIMENES - ME; 00.562.030/0001-91;RUA NICARÁGUA,;1018;;BACACHERI;82510-170;GLP;17/07/2025;104,99;;R$ / 13 kg;ULTRAGAZ
NE;PB;JOAO PESSOA;COMERCIO DE GAS MANDACARU LTDA; 00.698.039/0001-24;RUA JOAO DE BRITO L MOURA;65;;MANDACARU;58027-070;GLP;14/07/2025;115,00;;R$ / 13 kg;BRANCA
SE;MG;CONTAGEM;NOVA DISTRIBUIDORA DE GÁS DOM BOSCO LTDA; 00.770.764/0001-66;RUA DOM BOSCO;795;;INDUSTRIAL SECAO 3;32235-050;GLP;14/07/2025;110,00;;R$ / 13 kg;BRANCA
N;AM;MANAUS;EDILAMAR MARTINS FREIRE - ME; 00.811.011/0001-51;AVENIDA GRAVATAI;13;QD 40 CJ OSV FROTA I;CIDADE NOVA;69095-501;GLP;15/07/2025;120,38;;R$ / 13 kg;FOGAS
SE;SP;BAURU;VALTER ANTONIO DA SILVA BAURU - ME; 00.852.174/0001-82;AV. CONEGO ANIBAL DIFRANCIA;45909;;PQ. ALTO SUMARÉ;17020-690;GLP;15/07/2025;105,00;;R$ / 13 kg;LIQUIGÁS
CO;GO;GOIANIA;FONSECA MARTINS COMERCIO DE GAS - EIRELI; 00.961.053/0001-79;AVENIDA PASTEUR;S/N;QUADRA144                 LOTE  02;PARQUE ANHANGUERA II;74340-570;GLP;15/07/2025;110,00;;R$ / 13 kg;LIQUIGÁS
NE;CE;FORTALEZA;MONTESE GAS LTDA; 01.164.588/0001-81;AVENIDA JOAO PESSOA;5727;;MONTESE;60425-685;GLP;17/07/2025;99,99;;R$ / 13 kg;LIQUIGÁS
NE;PB;CAMPINA GRANDE;SUPER COMERCIO DE GAS LTDA; 01.231.855/0002-77;RUA DINAMERICA CORREIA;870;;DINAMERICA;58432-190;GLP;14/07/2025;94,99;;R$ / 13 kg;COPA ENERGIA
SE;MG;MONTES CLAROS;HARLEY TADEU GUIMARAES SANTOS; 01.290.005/0001-69;AVENIDA DOUTOR JOÃO LUIZ DE ALMEIDA;489;;VILA GUILHERMINA;39400-466;GLP;16/07/2025;110,00;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;JUNDIAI;MVIC COMERCIO DE GAS LTDA; 01.337.428/0001-97;AVENIDA ADELINO MARTINS;1360;;JD TULIPAS;13212-600;GLP;16/07/2025;115,00;;R$ / 13 kg;ULTRAGAZ
S;PR;CURITIBA;COMERCIO E TRANSPORTE DE GAS PERUSSE LTDA; 01.380.207/0001-00;RUA JOSE VALLE;1810;;SANTA FELICIDADE;82020-250;GLP;16/07/2025;105,00;;R$ / 13 kg;LIQUIGÁS
